"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"I support Modi ji s demonization of 500/1000 Rupee notes"	FALSE	0	NA	2016-11-26 14:59:53	FALSE	NA	"802527301896388608"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"sugunavisal"	0	FALSE	FALSE	NA	NA
"RT @friendscongress: Rs 4 Lakh In Fake 2,000 Rupee Notes Seized In Odisha, 1 Arrested. https://t.co/P4wSRqnQlr"	FALSE	0	NA	2016-11-26 14:59:47	FALSE	NA	"802527274201321478"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"NagaGoudIyc"	22	TRUE	FALSE	NA	NA
"RT @connectwithms: In other news, Rupee has fallen to an all-time low.....Now competing with Arvind Kejriwal."	FALSE	0	NA	2016-11-26 14:59:30	FALSE	NA	"802527203934150656"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Bhavessshh"	51	TRUE	FALSE	NA	NA
"RT @ankitndt: Is rupee really depreciated????
Eye opening data....
I can say in last two years two major strong  economy in this era were u…"	FALSE	0	NA	2016-11-26 14:58:40	FALSE	NA	"802526996781678592"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"utkarshrathore"	497	TRUE	FALSE	NA	NA
"TAFTAN: Gair Qanuni Jane Walunka Jurmana 500 Rupee Jabke  Levis Thane Dar Logo Se Zabardasti 3500 Rupee Lete Hai Gharib Awam Pareshan."	FALSE	0	NA	2016-11-26 14:58:39	FALSE	NA	"802526991278743557"	NA	"<a href=\"http://www.cloudhopper.com/\" rel=\"nofollow\">Cloudhopper</a>"	"Mekran_News"	0	FALSE	FALSE	NA	NA
"RT @Satyanewshi: #DemonetizationBenefits Demonetization could spark a new digital economy in India https://t.co/5yEdv4SPp8 via @qzindia"	FALSE	0	NA	2016-11-26 14:58:19	FALSE	NA	"802526906340044800"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"premprasoon21"	5	TRUE	FALSE	NA	NA
"'Exporters not benefited by rupee fall' https://t.co/sFqwJ4S8p2 #finance https://t.co/3vEui5qjPM"	FALSE	0	NA	2016-11-26 14:58:17	FALSE	NA	"802526899419217920"	NA	"<a href=\"http://dlvr.it\" rel=\"nofollow\">dlvr.it</a>"	"TN_Finance"	0	FALSE	FALSE	NA	NA
"RT @MissionBJP2019: क्या रुपए की कीमत में सच में गिरावट आ रही है? जानिए असली सच https://t.co/sTmBel3sXp https://t.co/SjY8LsA8Ip"	FALSE	0	NA	2016-11-26 14:58:11	FALSE	NA	"802526871858515968"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"alkeshmshah"	12	TRUE	FALSE	NA	NA
"TAFTAN: Gair Qanuni Jane Walunka Jurmana 500 Rupee Jabke  Levis Thane Dar Logo Se Zabardasti 3500 Rupee Lete Hai Gharib Awam Pareshan."	FALSE	0	NA	2016-11-26 14:57:54	FALSE	NA	"802526804057739264"	NA	"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M2)</a>"	"TawaaR_News"	0	FALSE	FALSE	NA	NA
"RT @connectwithms: In other news, Rupee has fallen to an all-time low.....Now competing with Arvind Kejriwal."	FALSE	0	NA	2016-11-26 14:57:44	FALSE	NA	"802526759468040192"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"U_Plz_Die"	51	TRUE	FALSE	NA	NA
